Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Predators|60.0|Nimród Antal||Topher Grace,Alice Braga,Laurence Fishburne,Adrien Brody,Danny Trejo|2010|100|Action,Science Fiction,Adventure,Thriller|hunter,predator,yakuza,hunting human beings,alien life-form,sequel,alien,alien planet,jungle,soldier,warrior|$126,248,813.00|English|1h 47m|$40,000,000.00|-
Must Love Dogs|58.0|Gary David Goldberg|Gary David Goldberg|Diane Lane,John Cusack,Elizabeth Perkins,Christopher Plummer,Dermot Mulroney|2005|100|Romance,Comedy|sibling relationship,make a match,single,children,teacher,dating,divorce,pet dog,computer dating,internet dating,wooden boats|$58,405,313.00|English|1h 38m|$30,000,000.00|http://www2.warnerbros.com/mustlovedogs/
Team America: World Police|66.0|Trey Parker|Trey Parker,Pam Brady,Matt Stone|Trey Parker,Matt Stone,Kristen Miller,Masasa Moyo,Daran Norris|2004|100|Music,Adventure,Animation,Action,Comedy|paris,france,cairo,capitalism,loss of loved one,egypt,war on terror,shotgun,patriotism,pentagon,american dream,destroy,shipwreck,louvre,american  way of life,failure,panama,damage,government,eiffel tower paris,world politics,mass destruction|$50,907,422.00|English|1h 38m|$32,000,000.00|http://www.teamamerica.com
The Chronicles of Narnia: Prince Caspian|63.0|Andrew Adamson|Andrew Adamson,Stephen McFeely,Christopher Markus|Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley|2008|100|Adventure,Family,Fantasy|sibling relationship,based on novel,fictional place,lion,human being,wretch,leap in time,matter of life and death,faith,uncle,based on children's book,narnia,fantasy world|$419,651,413.00|English|2h 30m|$225,000,000.00|-
My Best Friend's Girl|54.0|Howard Deutch|Howard Deutch|Dane Cook,Kate Hudson,Alec Baldwin,Jason Biggs,Diora Baird|2008|100|Romance,Comedy|date,sex,bar,test,friendship,insult,stripper,blonde,liar,wedding,lap dance,duringcreditsstinger|$36,620,508.00|English|1h 41m|$20,000,000.00|http://www.mybestfriendsgirlmovie.com
Stay|65.0|Marc Forster|David Benioff|Ewan McGregor,Ryan Gosling,Naomi Watts,Kate Burton,Elizabeth Reaser|2005|100|Mystery,Thriller,Drama|suicide attempt,time warp,loss of sense of reality,student,psychiatrist,parallel world|$8,342,132.00|English|1h 39m|$50,000,000.00|-
Raiders of the Lost Ark|78.0|Steven Spielberg|Lawrence Kasdan|Harrison Ford,Karen Allen,Paul Freeman,Ronald Lacey,John Rhys-Davies|1981|100|Adventure,Action|saving the world,riddle,nepal,himalaya,cairo,moses,egypt,whip,treasure,medallion,leather jacket,nazis,hat,mediterranean,ark of the covenant,ten commandments,treasure hunt,excavation,swastika,archaeologist,archeology ,religious history|$389,925,971.00|English|1h 55m|$18,000,000.00|http://www.indianajones.com
The Accidental Husband|53.0|Griffin Dunne||Colin Firth,Uma Thurman,Jeffrey Dean Morgan,Sam Shepard,Lindsay Sloane|2008|100|Comedy,Romance|fictitious marriage,blonde,revenge,beautiful woman,romantic comedy,secretary,wedding,radio host|$22,707,064.00|English|1h 30m|-|-
The Spy Next Door|55.0|Brian Levant|James Greer,Jonathan Bernstein|Jackie Chan,Amber Valletta,Madeline Carroll,Will Shadley,Alina Foley|2010|100|Action,Comedy,Family|duringcreditsstinger|$45,236,543.00|English|1h 34m|$28,000,000.00|-
The Italian Job|66.0|F. Gary Gray|Donna Powers,Wayne Powers|Mark Wahlberg,Charlize Theron,Edward Norton,Seth Green,Jason Statham|2003|100|Action,Crime|venice,california,train station,helicopter,parent child relationship,austria,mountain,gold,subway,hacker,chase,safe,remake,caper,revenge,murder,heist,double crossed,fast cars,boat chase,los angeles,explosion,convict,car chase,tv news,hollywood sign,television repair,mini cooper|$176,070,171.00|English|1h 50m|$60,000,000.00|http://www.italianjobmovie.com/
True Story|62.0|Rupert Goold|Rupert Goold,David Kajganich|Jonah Hill,James Franco,Felicity Jones,Maria Dizzia,Ethan Suplee|2015|100|Crime,Drama,Mystery|prison,journalist,prisoner,prison visit,based on true events,identity theft,accused of murder|$4,719,695.00|English|1h 40m|-|-
Death Wish|69.0|Michael Winner|Wendell Mayes|Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,William Redfield|1974|100|Action,Crime,Drama,Thriller|new york,taxi,fight,architect,police,vigilante|$22,000,000.00|English|1h 33m|$3,000,000.00|-
Brazil|76.0|Terry Gilliam|Terry Gilliam,Charles McKeown,Tom Stoppard|Jonathan Pryce,Robert De Niro,Katherine Helmond,Ian Holm,Bob Hoskins|1985|100|Comedy,Science Fiction|bureaucracy,police state,terror,great britain,dream,dystopia,government,cult film,anarchic comedy|-|English|2h 12m|$15,000,000.00|-
The Big Blue|76.0|Luc Besson||Jean-Marc Barr,Jean Reno,Rosanna Arquette,Paul Shenar,Sergio Castellitto|1988|100|Adventure,Drama,Romance|italy,suicide,diving,ocean,competition,oxygen,sicily,dolphin,apnoe-diving,parent child relationship,dying and death,friendship|-|French|2h 48m|-|-
The Darjeeling Limited|71.0|Wes Anderson|Wes Anderson,Roman Coppola,Jason Schwartzman|Owen Wilson,Jason Schwartzman,Adrien Brody,Bill Murray,Anjelica Huston|2007|100|Adventure,Drama,Comedy|sibling relationship,dysfunctional family,india,train attendant,healing,steward,catharsis|$24,377,151.00|English|1h 31m|$16,000,000.00|http://www.foxsearchlight.com/thedarjeelinglimited/
Easy A|68.0|Will Gluck|Bert V. Royal|Emma Stone,Amanda Bynes,Penn Badgley,Stanley Tucci,Lisa Kudrow|2010|100|Comedy|lie,high school,school,teen movie,rumor|$74,952,305.00|English|1h 32m|$8,000,000.00|http://letsnotandsaywedid.com/
The Kids Are All Right|65.0|Lisa Cholodenko|Stuart Blumberg|Julianne Moore,Annette Bening,Mark Ruffalo,Mia Wasikowska,Josh Hutcherson|2010|93|Comedy,Drama|lesbian relationship,lesbian,dinner,motorcycle,argument,biological father,artificial insemination,control freak,vegetable garden,woman director,lgbt family|$34,705,850.00|English|1h 46m|$3,500,000.00|http://filminfocus.com/focusfeatures/film/the_kids_are_all_right/
Evil Dead|64.0|Fede Alvarez|Fede Alvarez,Rodo Sayagues|Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore|2013|100|Horror|remake,demon,necronomicon,duringcreditsstinger|$97,542,952.00|English|1h 31m|$17,000,000.00|http://www.evildead-movie.com/
Three Colors: White|74.0|Krzysztof Kieślowski|Krzysztof Kieślowski,Krzysztof Piesiewicz|Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,Aleksander Bardini|1994|100|Comedy,Drama,Mystery|hairdresser,sexual frustration,funeral,business man,poland|-|French|1h 31m|-|-
As Above, So Below|62.0|John Erick Dowdle|John Erick Dowdle,Drew Dowdle|Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert|2014|100|Horror,Thriller|paris,loss of loved one,treasure,catacombs,scientist,archaeologist,subjective camera,found footage,female archeologist,philosopher's stone|$40,100,000.00|English|1h 33m|$5,000,000.00|http://www.asabovesobelowmovie.com/
Fired Up!|60.0|Will Gluck|Freedom Jones|Nicholas D'Agosto,Eric Christian Olsen,Sarah Roemer,Molly Sims,Danneel Ackles|2009|100|Comedy|cheerleading,aftercreditsstinger,duringcreditsstinger|$18,599,102.00|English|1h 30m|$20,000,000.00|http://www.sonypictures.com/homevideo/firedup/
Batman: The Killing Joke|62.0|Sam Liu|Brian Azzarello|Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,Robin Atkin Downes|2016|100|Action,Animation,Crime,Drama|dc comics,carnival,psychopath,joker,superhero,based on comic,descent into madness,torture,cruelty,justice,super power,dark,madness,batgirl|$3,775,000.00|English|1h 12m|$3,500,000.00|http://www.dccomics.com/movies
Weekend at Bernie's|63.0|Ted Kotcheff|Robert Klane|Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,Terry Kiser,Don Calfa|1989|100|Comedy|beach,mission of murder,boss,bad boss,house,female corpse|$30,218,387.00|English|1h 37m|$6,500,000.00|-
Red Heat|58.0|Walter Hill|Walter Hill,Troy Kennedy Martin,Harry Kleiner|Arnold Schwarzenegger,Jim Belushi,Ed O'Ross,Peter Boyle,Laurence Fishburne|1988|100|Action,Crime|usa,police brutality,cold war,russia,drug dealer,investigation,police,drug cartel,police detective,soviet,buddy cop,kingpin|$34,994,648.00|English|1h 44m|$29,000,000.00|-
Withnail & I|74.0|Bruce Robinson|Bruce Robinson|Richard E. Grant,Paul McGann,Richard Griffiths,Michael Elphick,Ralph Brown|1987|100|Comedy,Drama|flat,bath,darkness,uncle,money,rural setting,cigar smoking,cottage,poverty,cafe,strangulation,english countryside,cult film,farmer,british pub,unemployed,actors,lake district|$1,544,889.00|English|1h 47m|-|-
20th Century Women|74.0|Mike Mills|Mike Mills|Annette Bening,Elle Fanning,Greta Gerwig,Lucas Jade Zumann,Billy Crudup|2016|100|Drama|parent child relationship,1970s,balcony,feminism,feminist,single mother,punk music,generation gap,santa barbara california|$5,664,764.00|English|1h 59m|$7,000,000.00|http://www.20thcenturywomen-movie.com/
The Long Kiss Goodnight|65.0|Renny Harlin|Shane Black|Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko,Tom Amandes|1996|100|Crime,Action,Mystery,Thriller|assassination,amnesia,hostage,new identity,strong woman,chase,female killer,dark comedy,teacher,escape,female protagonist,woman with gun,beautiful  woman,single mother,timebomb,candlelight vigil,rogue agent,street shootout,ex cia agent,christmas parade|$89,456,761.00|English|2h 0m|$65,000,000.00|-
Who's Afraid of Virginia Woolf?|79.0|Mike Nichols|Ernest Lehman|Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,Agnes Flanagan|1966|100|Drama|alcohol,adultery,professor,fantasy,married couple,son,guest,campus,based on play or musical,new england,one night,cult classic,marital tensions|$33,736,689.00|English|2h 11m|$7,500,000.00|-
The Producers|73.0|Mel Brooks||Gene Wilder,Zero Mostel,Dick Shawn,Kenneth Mars,Lee Meredith|1967|100|Comedy|musical,theatrical producer,eva braun,playwright,scam,broadway,nazi|-|English|1h 28m|$947,000.00|-
Very Bad Things|63.0|Peter Berg|Peter Berg|Jon Favreau,Leland Orser,Cameron Diaz,Christian Slater,Jeremy Piven|1998|100|Comedy,Crime,Thriller|prostitute,hotel,cocaine,nudity,psychopath,stag night,friends,murder,independent film,marijuana,blood,wedding,las vegas,violence,death,accident|$9,898,412.00|English|1h 40m|$30,000,000.00|-
Hannah Montana: The Movie|61.0|Peter Chelsom||Miley Cyrus,Billy Ray Cyrus,Emily Osment,Jason Earles,Taylor Swift|2009|100|Comedy,Drama,Family,Music,Romance|usa,countryside,double life,pop star,musical,tennessee,celebrity,singer,teenage girl,teen movie,teenager,hometown,famous|$155,545,279.00|English|1h 42m|$35,000,000.00|http://disney.go.com/disneypictures/hannahmontanamovie/
Knowing|59.0|Alex Proyas|Ryne Douglas Pearson,Juliet Snowden,Stiles White|Nicolas Cage,Rose Byrne,Chandler Canterbury,Ben Mendelsohn,Nadia Townsend|2009|100|Action,Adventure,Drama,Mystery,Science Fiction,Thriller|cataclysm,code,suspense,end of the world,time capsule,astrophysicist,grieving widower,lexington massachusetts,westford massachusetts,prediction,researcher,numbers,news|$155,446,362.00|English|2h 1m|$50,000,000.00|http://knowing-themovie.com/
The Godfather: Part III|72.0|Francis Ford Coppola|Francis Ford Coppola,Mario Puzo|Al Pacino,Diane Keaton,Talia Shire,Andy García,Eli Wallach|1990|100|Crime,Drama,Thriller|italy,christianity,new york,assassination,italian american,vatican,pope,confession,helicopter,daughter,lawyer|$136,766,062.00|English|2h 42m|$54,000,000.00|http://www.imdb.com/title/tt0099674/
Frances Ha|73.0|Noah Baumbach||Greta Gerwig,Mickey Sumner,Adam Driver,Michael Zegen,Michael Esper|2013|100|Comedy,Drama|dancer,friendship,loneliness,black and white,new york city,responsibility,late coming of age|$4,069,826.00|English|1h 26m|-|-
13 Going on 30|63.0|Gary Winick|Josh Goldsmith,Cathy Yuspa|Jennifer Garner,Mark Ruffalo,Judy Greer,Andy Serkis,Kathy Baker|2004|100|Comedy,Fantasy,Romance|new york,photographer,editor-in-chief,wish,michael jackson,child as an adult,best friends in love|$96,455,697.00|English|1h 38m|$37,000,000.00|-
Man of Steel|65.0|Zack Snyder|David S. Goyer|Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Russell Crowe|2013|100|Action,Adventure,Fantasy,Science Fiction|saving the world,dc comics,superhero,based on comic,superhuman,alien invasion,super power,reboot,dc extended universe|$662,845,518.00|English|2h 23m|$225,000,000.00|http://www.manofsteel.com/
Georgia Rule|56.0|Garry Marshall||Jane Fonda,Lindsay Lohan,Felicity Huffman,Dermot Mulroney,Cary Elwes|2007|93|Comedy,Drama,Romance|parent child relationship,grandparent grandchild relationship,promiscuity,rural setting,summer,teenager,veterinary clinic,rebellious teenager|-|English|1h 53m|$20,000,000.00|-
Lock, Stock and Two Smoking Barrels|75.0|Guy Ritchie|Guy Ritchie|Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Vinnie Jones|1998|100|Comedy,Crime|ambush,alcohol,shotgun,tea,joint,machismo,cocktail,rifle,marijuana,cockney accent,pot smoking,hatchet,antique,cardsharp,anger,cult film,carjacking,piano,strip show,high stakes|$28,356,188.00|English|1h 45m|$1,350,000.00|http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/
You Again|60.0|Andy Fickman||Kristen Bell,Sigourney Weaver,Betty White,Kristin Chenoweth,Odette Annable|2010|100|Comedy,Romance|sibling relationship,marriage,bully,duringcreditsstinger|$32,005,248.00|English|1h 45m|$20,000,000.00|-
Gangster Squad|62.0|Ruben Fleischer||Josh Brolin,Ryan Gosling,Nick Nolte,Emma Stone,Sean Penn|2013|100|Crime,Drama,Action,Thriller|gangster,los angeles|$105,200,903.00|English|1h 53m|$60,000,000.00|http://gangstersquad.warnerbros.com/
Hercules|56.0|Brett Ratner|Evan Spiliotopoulos,Ryan Condal|Dwayne Johnson,Ian McShane,John Hurt,Rufus Sewell,Aksel Hennie|2014|100|Action,Adventure|mercenary,battle,ancient greece,hercules,warrior,sagen|$243,400,000.00|English|1h 39m|$100,000,000.00|-
Unleashed|66.0|Louis Leterrier||Jet Li,Morgan Freeman,Bob Hoskins,Vincent Regan,Dylan Brown|2005|100|Action,Crime|martial arts,hitman,serial killer|$50,871,113.00|English|1h 43m|$45,000,000.00|http://www.universalstudiosentertainment.com/unleashed/
Fantomas|67.0|André Hunebelle|Pierre Foucaud,Jean Halain|Jean Marais,Louis de Funès,Mylène Demongeot,Christian Toma,Jacques Dynam|1964|100|Comedy,Crime,Adventure,Fantasy|newspaper,press conference,police operation,fugitive|-|French|1h 39m|-|-
Pirates of Silicon Valley|67.0|Martyn Burke|Martyn Burke|Noah Wyle,Joey Slotnick,J.G. Hertzler,Anthony Michael Hall,Wayne Pére|1999|100|Drama|biography,apple computer,bill gates,steve jobs,microsoft|-|English|1h 37m|-|http://alt.tnt.tv/movies/tntoriginals/pirates/frame_index.htm
The Impossible|71.0|Juan Antonio Bayona||Naomi Watts,Ewan McGregor,Tom Holland,Samuel Joslin,Oaklee Pendergast|2012|100|Thriller,Drama|thailand,tsunami,family vacation,tidal wave,catastrophe,swept away,separation from family,boxing day,21st century|$180,274,123.00|English|1h 53m|$42,000,000.00|-
Wolf Creek|61.0|Greg McLean|Greg McLean|John Jarratt,Cassandra Magrath,Kestie Morassi,Nathan Phillips,Andy McPhee|2005|100|Horror,Thriller|australian,tourist,backpacker,british,cult film,outback|$27,762,648.00|English|1h 39m|$1,000,000.00|-
Security|60.0|Alain Desrochers|John Sullivan|Antonio Banderas,Ben Kingsley,Liam McIntyre,Chad Lindberg,Gabriella Wright|2017|100|Action||-|English|1h 27m|$15,000,000.00|-
No Way Out|69.0|Roger Donaldson|Robert Garland|Kevin Costner,Gene Hackman,Sean Young,Will Patton,Howard Duff|1987|100|Action,Drama,Thriller|homicide,pentagon,minister,u.s. navy|$35,509,515.00|English|1h 54m|$15,000,000.00|-
That's My Boy|55.0|Sean Anders||Adam Sandler,Susan Sarandon,Eva Amurri Martino,Leighton Meester,Andy Samberg|2012|100|Comedy|deadbeat dad,cheating fiancée,teacher student sex,brother sister incest|$58,058,367.00|English|1h 56m|$70,000,000.00|http://www.sonypictures.com/movies/thatsmyboy/
Bottle Rocket|68.0|Wes Anderson|Wes Anderson,Owen Wilson|Luke Wilson,Owen Wilson,Lumi Cavazos,Andrew Wilson,Robert Musgrave|1996|100|Comedy,Crime,Drama|sibling relationship,robbery,burglar,language barrier,motel,independent film,psychiatric hospital,maid,theft,nervous breakdown,escapade,laundry room|$560,069.00|English|1h 31m|$7,000,000.00|-
Final Destination 5|59.0|Steven Quale|Eric Heisserer|Emma Bell,Nicholas D'Agosto,Miles Fisher,Ellen Wroe,Jacqueline MacInnes Wood|2011|100|Horror,Mystery|premonition,death by accident,crash,end is here,duringcreditsstinger,3d|$157,887,643.00|English|1h 32m|$47,000,000.00|http://finaldestinationmovie.warnerbros.com/index.html
Super Troopers|65.0|Jay Chandrasekhar||Jay Chandrasekhar,Steve Lemme,Kevin Heffernan,Paul Soter,Brian Cox|2001|100|Comedy,Crime,Mystery|alcohol,radio,police chief,highway,cops,broken lizard,marijuana,drug humor,police corruption,aftercreditsstinger,duringcreditsstinger,shenanigans|$18,492,362.00|English|1h 40m|$3,000,000.00|http://www.brokenlizard.com/
Barton Fink|74.0|Joel Coen|Joel Coen,Ethan Coen|John Turturro,John Goodman,Judy Davis,Michael Lerner,Tony Shalhoub|1991|100|Comedy,Drama|screenplay,movie business,screenwriter,cinema,mass murder,los angeles|$6,153,939.00|English|1h 56m|$9,000,000.00|-
Holidays|48.0|Dennis Widmyer,Sarah Adina Smith,Gary Shore,Kevin Kolsch,Nicholas McCarthy,Anthony Scott Burns,Scott Stewart,Kevin Smith,Ellen Reid,Adam Egypt Mortimer||Harley Quinn Smith,Lorenza Izzo,Seth Green,Clare Grant,Ruth Bradley|2016|100|Comedy,Horror|holiday,new year's eve,halloween,darkness,midnight,anthology,easter,blood,dark,mother's day,woman director,holiday season,father's day,christmas,st. patrick's day,holidays,st. valentine's day|-|English|1h 45m|-|-
The Contract|55.0|Bruce Beresford||Morgan Freeman,John Cusack,Alice Krige,Megan Dodds,Corey Johnson|2006|100|Drama,Action,Thriller,Crime|usa president,attempted murder,hitman,mission of murder,planned murder,serial killer,fbi agent|$5,549,200.00|English|1h 36m|$25,000,000.00|-
He's Just Not That Into You|63.0|Ken Kwapis||Ben Affleck,Jennifer Aniston,Drew Barrymore,Jennifer Connelly,Kevin Connolly|2009|100|Comedy,Romance,Drama|relationship,ensemble cast,duringcreditsstinger|$177,259,441.00|English|2h 9m|$40,000,000.00|http://www.hesjustnotthatintoyoumovie.com/
Sense and Sensibility|73.0|Ang Lee|Emma Thompson|Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman|1995|100|Drama,Romance|bowling,based on novel,servant,country life,jane austen,inheritance,military officer,period drama,rainstorm,horse and carriage,decorum|$135,000,000.00|English|2h 16m|$16,500,000.00|-
Bedtime Stories|59.0|Adam Shankman|Matt Lopez,Tim Herlihy|Adam Sandler,Keri Russell,Guy Pearce,Courteney Cox,Lucy Lawless|2008|100|Fantasy,Comedy,Family,Romance|wishes come true,escapade,disorder,imaginary,miraculous event,imaginary kingdom,life turned upside down,nothing goes right|$212,874,442.00|English|1h 39m|$80,000,000.00|-
Mission: Impossible - Rogue Nation|71.0|Christopher McQuarrie|Christopher McQuarrie|Tom Cruise,Rebecca Ferguson,Simon Pegg,Jeremy Renner,Ving Rhames|2015|100|Action,Adventure,Thriller|london england,spy,austria,europe,villain,sequel,mission,conspiracy,vienna opera,vienna|$682,330,139.00|English|2h 11m|$150,000,000.00|http://www.missionimpossible.com
Trainspotting|79.0|Danny Boyle|John Hodge|Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle,Kelly Macdonald|1996|100|Drama,Crime|london england,alcohol,sex,based on novel,drug addiction,drug dealer,nightclub,junkie,heroin,cold turkey,modern society,hallucination,friendship,surrealism,dark comedy,stealing,monologue,cult film,recovering drug addict,illegal drugs,drug deal,drug rehabilitation,drug culture,antihero,drogas,película de culto|$16,491,080.00|English|1h 33m|$4,000,000.00|http://www.miramax.com/movie/trainspotting/
9 Month Stretch|63.0|Albert Dupontel||Albert Dupontel,Sandrine Kiberlain,Nicolas Marié,Philippe Uchan,Philippe Duquesne|2013|100|Comedy|court case,criminal,female judge|-|French|1h 22m|-|-
Daddy's Home 2|58.0|Sean Anders||Will Ferrell,Mark Wahlberg,John Lithgow,Mel Gibson,Linda Cardellini|2017|100|Comedy|sequel|$119,261,377.00|English|1h 40m|$69,000,000.00|-
The To Do List|55.0|Maggie Carey|Maggie Carey|Aubrey Plaza,Johnny Simmons,Bill Hader,Alia Shawkat,Sarah Steele|2013|100|Comedy,Romance|sex,sexuality,irony,parent child relationship,sarcasm,naivety,black humor,swimming pool,teenage girl,sexual humor,summer,love interest,summer vacation,attraction,high school student,teenage sexuality,clumsiness,lifeguard,immaturity,awkwardness,list,woman director,public pool,female sexuality,virginity,1990s|$3,566,225.00|English|1h 44m|$1,500,000.00|http://todolistmovie.com/
Nights in Rodanthe|59.0|George C. Wolfe|John Romano,Ann Peacock|Diane Lane,Richard Gere,Christopher Meloni,Viola Davis,Becky Ann Baker|2008|100|Drama,Romance|based on novel,beach,marriage crisis,north carolina,romance,inn,middle age|$84,375,061.00|English|1h 37m|-|http://nightsinrodanthe.warnerbros.com/
Annabelle: Creation|64.0|David F. Sandberg||Stephanie Sigman,Talitha Bateman,Anthony LaPaglia,Miranda Otto,Lulu Wilson|2017|100|Horror,Mystery,Thriller|prequel,evil doll,demon,spin off,demonic possession,ghost|$305,092,201.00|English|1h 49m|$15,000,000.00|http://annabellemovie.com
Cinderella Man|73.0|Ron Howard|Cliff Hollingsworth,Akiva Goldsman|Russell Crowe,Renée Zellweger,Paul Giamatti,Craig Bierko,Paddy Considine|2005|100|Romance,Drama,History|transporter,netherlands,world cup,socially deprived family,family's daily life,boxer,boxing match,comeback,training,heavy weight,folk hero,biography,daughter,defeat,sport|$108,539,911.00|English|2h 24m|$88,000,000.00|http://www.cinderellamanmovie.com/index.php
Wolf|60.0|Mike Nichols|Jim Harrison,Wesley Strick|Jack Nicholson,Christopher Plummer,James Spader,Michelle Pfeiffer,Kate Nelligan|1994|100|Fantasy|adultery,heal,bite,deer,werewolf,vermont,publisher|-|English|2h 5m|-|-
Happiness|74.0|Todd Solondz|Todd Solondz|Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker,Evan Silverberg|1998|100|Comedy,Drama|sibling relationship,rape,lover (female),pedophilia,sister,partnership,stalker,secret love,independent film,relationship,extramarital affair,family conflict,unhappiness|$2,807,390.00|English|2h 19m|$3,000,000.00|-
Hawaiian Vacation|68.0|Gary Rydstrom|Erik Benson,Gary Rydstrom,Jason Katz|Tim Allen,Jodi Benson,Blake Clark,Tom Hanks,Joan Cusack|2011|100|Animation,Family|short,toy story,pixar animation|-|English|0h 6m|-|http://www.pixar.com/short_films/Toy-Story-Toons/Hawaiian-Vacation
Throw Momma from the Train|60.0|Danny DeVito|Stu Silver|Danny DeVito,Billy Crystal,Kim Greist,Anne Ramsey,Kate Mulgrew|1987|100|Crime,Comedy|mother,murder,train,ex-wife|$57,915,972.00|English|1h 28m|$14,000,000.00|-
Scanners|66.0|David Cronenberg||Stephen Lack,Jennifer O'Neill,Michael Ironside,Patrick McGoohan,Lawrence Dane|1981|100|Horror,Science Fiction,Thriller|telepathy,telekinesis,mind control,psychic power,murder,independent film,gore,blood,mind reading,paranormal phenomena,scientist,exploding head,violence,drug|$14,225,876.00|English|1h 43m|$4,100,000.00|-
Badlands|75.0|Terrence Malick|Terrence Malick|Martin Sheen,Sissy Spacek,Ramon Bieri,Warren Oates,Alan Vint|1973|100|Crime,Drama|mass murder,on the run,fugitive,killing spree,gritty,south dakota,badlands|-|English|1h 34m|-|-
I Don't Feel at Home in This World Anymore|66.0|Macon Blair|Macon Blair|Melanie Lynskey,Elijah Wood,David Yow,Jane Levy,Devon Graye|2017|100|Comedy,Crime,Drama,Thriller|snake,kidnapping,vomit,police,vigilante,thief,dark comedy,gore,violence,dog,laptop,dark,rowboat,degenerate,throwing star,offbeat,burglarized|-|English|1h 36m|-|https://www.netflix.com/title/80100937
Youth|67.0|Paolo Sorrentino||Michael Caine,Harvey Keitel,Rachel Weisz,Paul Dano,Mark Kozelek|2015|100|Comedy,Drama|venice,suicide,hotel,screenwriter,switzerland,composer,conductor,vacation,alps,old friends|$2,000,000.00|Italian|1h 58m|$13,360,000.00|http://www.pathefilms.com/film/youth
Ramona and Beezus|62.0|Elizabeth Allen Rosenbaum|Nick Pustay,Laurie Craig|Joey King,Selena Gomez,John Corbett,Bridget Moynahan,Ginnifer Goodwin|2010|100|Comedy,Family|sibling relationship,parent child relationship,aunt niece relationship,duringcreditsstinger,woman director|-|English|1h 43m|-|http://www.ramonaandbeezus.com/
Brewster's Millions|64.0|Walter Hill|Timothy Harris,Herschel Weingrod|Richard Pryor,John Candy,Lonette McKee,Stephen Collins,Jerry Orbach|1985|100|Comedy|new jersey,based on novel,photographer,baseball,dollar,remake,lawyer,millionaire,new york yankees,hotel suite,manhattan, new york city,inheritance challenge,extravagance,interior decorator,spending money,accounting fraud,heir to fortune,mayoral campaign|$45,833,132.00|English|1h 37m|$20,000,000.00|-
Parkland|59.0|Peter Landesman|Peter Landesman|Zac Efron,Billy Bob Thornton,Ron Livingston,Tom Welling,Paul Giamatti|2013|100|History,Drama,Thriller,Mystery|fbi,john f. kennedy,hospital,dallas texas,kennedy assassination|$653,651.00|English|1h 34m|$10,000,000.00|-
Split|70.0|M. Night Shyamalan||James McAvoy,Anya Taylor-Joy,Betty Buckley,Haley Lu Richardson,Jessica Sula|2017|100|Horror,Thriller|child abuse,kidnapping,gore,stalking,teenage girl,blood,violence,super power,mental illness,multiple personality,traumatic childhood,dissociative identity disorder|$278,304,578.00|English|1h 57m|$9,000,000.00|http://www.splitmovie.com/
Jack|59.0|Francis Ford Coppola|Gary Nadeau,James DeMonaco|Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez,Bill Cosby|1996|100|Comedy,Drama,Science Fiction|age difference,appearance,body exchange,genetics|$58,620,973.00|English|1h 53m|$45,000,000.00|-
American Pie Presents: The Book of Love|51.0|John Putch||Eugene Levy,Bug Hall,Kevin M. Horton,Brandon Hardesty,Beth Behrs|2009|100|Comedy|high school,teenager,teen comedy,teenage sexuality,virginity|-|English|1h 33m|-|-
Texas Chainsaw 3D|53.0|John Luessenhop|Debra Sullivan,Adam Marcus,Kirsten Elms|Alexandra Daddario,Dan Yeager,Bill Moseley,Marilyn Burns,Tania Raymonde|2013|100|Horror,Thriller|sequel,gore,leatherface,slasher,chainsaw,aftercreditsstinger,duringcreditsstinger|-|English|1h 32m|$10,000,000.00|-
Furry Vengeance|45.0|Roger Kumble|Josh Gilbert,Michael Carnes|Brendan Fraser,Ken Jeong,Brooke Shields,Angela Kinsey,Rob Riggle|2010|100|Comedy|bear,animal,aftercreditsstinger,duringcreditsstinger,real estate,land developer,real estate developer|$39,340,177.00|English|1h 32m|$35,000,000.00|http://www.furryvengeance-movie.com/
Murder at 1600|58.0|Dwight H. Little|David Hodgin,Wayne Beach|Wesley Snipes,Diane Lane,Alan Alda,Daniel Benzali,Dennis Miller|1997|100|Action,Drama,Mystery,Thriller,Crime|cia,white house,secret service|$25,804,707.00|English|1h 47m|-|-
